Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Big Data Engineer,$68K-$111K (Glassdoor est.),"We are looking for strong Big Data Engineers and Data Analysts. This person will be handling petabytes of consumer data for analytics. Excellent salary and benefits.

Locations – Connecticut, Los Angeles, Seattle and New York.

Basic Qualifications:
Have 5+ years of experience developing with a mix of languages (Scala, Python, SQL, etc.) and frameworks to implement data ingest, processing, and serving technologies. Experience with real-time and very large scalable online systems are preferred.
• Cloud experience is must (AWS-S3, Snowflake, Redshift, Big Query etc.)
• Experience with open source such as Hadoop, Spark, Kafka, Druid, Pilosa and Yarn/Kubernetes.
• Experience in SQL, ETL Tools is required
• Are passionate about data, technology, & creative innovation.
• Experience in working with Data Scientists to operationalize machine learning models.",4.0,"Meridian Technologies, Inc
4.0","Seattle, WA","Farmington Hills, MI",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Senior Data Engineer (Healthcare Domain experience required),$68K-$111K (Glassdoor est.),"Key Responsibilities

- Architect, build, and maintain efficient data pipelines, utilizing a variety of data access technologies (REST APIs, FTP, SQL, S3)

- Work with analytics team to help with automating reporting needs leveraging various solutions like REST APIs or BI tools

- End-to-end development, starting from requirements gathering with stakeholders to deployment to production systems

- Lead greenfield development of innovative applications, analysis, and systems

- Contribute to development of a rapidly growing, integrated datawarehouse that will provide a complete vision of the entire healthcare landscape

- Work with large, alternative datasets (100s of millions of data points) to extract insights and proactively monitor trends

Minimum Qualifications

· Advanced SQL Knowledge

· Proficient in object-oriented development (C#, Java, etc)

· Proficient in creating REST Web Services using C#/Python/Node

· Experience working with large data sets (50+ million rows)

· Ability to architect end-to-end ETL pipelines

· Comfortable writing unit/integration tests, implementing logging/monitoring, and maintaining reliability of internal processes

· Familiarity with software development best practices: Dependency Injection, ORMs, Test-Driven Development, Modular design, etc.

Preferred Skills

· Architect-level experience with development using Cloud tools (ideally Azure)

· Experience with distributed datastores such as Databricks, Spark/Hadoop, Snowflake NoSql, etc.

· Web development in a full-stack capacity (ideally Angular)

· Business Intelligence Experience (Power BI, Tableau, etc.)

· Experience working with EMR or Claims data

Benefits

· Top-of-the-line, company sponsored healthcare insurance

· Unlimited meals

· Full-floor, state-of-the-art gym only for employees with showers, protein shakes, etc

· Always-stocked kitchens/resource rooms

· Monthly happy hours

· Great work-life balance

· Data driven culture at all levels of the firm",3.4,"Enterprise Integration
3.4","New York, NY","Jacksonville, FL",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
Data Engineer,$68K-$111K (Glassdoor est.),"Building Bridges, Moving Ahead
Work hard. Play hard. Breathe Easy. That’s a nutshell description of the professionals who thrive at Resurgent. Regardless of their position, our people are ambitious and entrepreneurial, attracted to the fresh point-of-view of an evolving, growing company. They are personable and patient, attracted to the collaborative nature of our company. And they are centered, understanding the balance needed to achieve success at work and harmony at home.

As a Data Engineer, you will be responsible for all aspects of the software development lifecycle, including design, coding, integration testing, deployment and documentation. You will create and maintain new data applications relying heavily on experience and judgment to plan and accomplish goals. Prior experience designing and developing production solutions is expected.
Design & Develop custom data warehouse solutions that enable leadership and general users to make informed data driven decisions and address the high demand for data availability in the enterprise.
Responsible for creating work estimates, technical project plans, and implementation plans
Research emerging development technologies, products, and processes
Work collaboratively within an agile project team
Follow best practices and coding standards
Grow your personal skillset as well as the skills of the team

Qualifications/Skills:
Experience designing data warehouse solutions with strong working SQL knowledge
Knowledge of databases, data structures, data management, and data manipulation
Experience creating data models, and data pipelines for acquisition, cleansing, and integration
Proficient with Microsoft SQL Server
Experience with C# and/or PowerShell
Familiar with distributed architecture a plus
Demonstrated experience in IT concepts and practices
Understands and has used software development lifecycles
Experience working in a team-oriented, collaborative environment
Good communication skills with a customer support orientation
Excellent problem-solving skills
Familiar with application lifecycle management tools and source control

Additional Desired Skills:
SSIS or equivalent ETL tool
Azure / AWS
R or Python

Educational Requirements:
College degree preferred; or a combination of education and experience
We would be honored if you applied to join our team! We are an equal opportunity employer,offering a fantastic work environment, challenging career opportunities and competitive compensation.",4.4,"Resurgent Capital Services
4.4","Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),-1
Sr Scientist - Extractables & Leachables,$68K-$111K (Glassdoor est.),"Sr Scientist - Extractables & Leachables

Job Details
Job Location
The Ritedose Corporation - Columbia, SC
Position Type
2C
Education Level
4 Year Degree
Job Shift
Day
Job Category
Science
Description
The Sr. Scientist will be an expert in the field of Extractable and Leachable testing who will be responsible for managing the Extractable and Leachable (E&L) program. The Sr. Scientist will have in-depth knowledge of the regulatory requirements as well as the technical expertise for the development and validation of analytical methods required to qualify various packaging and manufacturing process components. The Sr. Scientist will have expertise in testing for E&L using various analytical methods such as HPLC/UV, HPLC/MS GC, GC/MS, and ICP-OES.

Responsibilities:
Responsible for maintaining subject matter expertise with the latest scientific literature and industry standards for E&L, including USP chapters for packaging components and container closure systems as it applies to sterile inhalation, ophthalmic, otic and oral products.
Have an understanding of the chemistry of packaging components such as resins, polymers, foils, laminates etc.
Responsible for overseeing and leading extractable methods validation and strategies for control of leachates in pharmaceutical products.
Lead unknown compound investigations utilizing data generated by mass spectrometry and work with toxicologist and chemist to device appropriate strategies for establishing control specifications for components and drug products.
Responsible for project tracking and timely completion of projects as a project team leader.
Coordinate and lead all analytical aspects for assigned projects including customer and vendor communications.
Responsible for timely and accurate completion of assigned work.
Adhere to all applicable cGMPs, company SOPs, and health and safety procedures.
Responsible for timely and accurate documentation according to TRC’s SOPs and applicable cGMPs.
Responsible for writing laboratory SOPs, studies, protocols, and reports.
Assist in regulatory audits.
Lead OOS and deviation investigations.
Qualifications:
BS in Chemistry or related science with a minimum of 12 years experience; preferably MS with 6 to 9 years experience working in the pharmaceutical industry in the Extractable/Leachable field
Demonstrated expertise with GC/MS, LC/MS, HPLC and modern Data Acquisition Systems required
Knowledge and experience of GMP and related documentation skills
Strong Microsoft Office and technical writing skills for creation of procedures, protocols and reports
Excellent communication (oral and written) and attention to detail
Ability to work independently and as part of a team, self-motivated, adaptable and possessing a positive attitude
Must be detail focused and have an exemplary work ethic",3.5,"Ritedose
3.5","Columbia, SC","Columbia, SC",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1
MANAGING CONSULTANT– DATA ANALYTICS TEAM,$68K-$111K (Glassdoor est.),"MANAGING CONSULTANT– DATA ANALYTICS TEAM


Opinion Dynamics seeks a new team member to join our Data Analytics team. This person will act as a Technical Lead to drive innovative thinking, methodologies, and data analytics approaches in the energy space. The Data Analytics group is a dynamic and tightly knit team of individuals from a range of backgrounds working closely together on analytically challenging and methodologically innovative consulting, advising, and research projects to support energy efficiency, distributed energy resources, and grid-focused needs. Our ideal candidate will be adept at both performing complex modeling and analytic tasks and acting as a technical lead on data analytics projects, advising and mentoring staff on analytic approaches as well as performing quality control and assurance. A successful candidate will be able to thrive and perform effectively in an agile and dynamic environment of a consulting firm and is excited to work with a multidisciplinary team of data scientists, statisticians, data analysts, and programmers.

Opinion Dynamics is known for the excellence of our team and our commitment to a corporate culture that fosters innovative thought, growth and enrichment opportunities, passionate employees, collegiality and collaboration.

What we are looking for in an ideal candidate
Demonstrated experience in the energy field, especially in Energy Efficiency, Demand Response, and Distributed Energy Resources
Minimum Bachelor’s degree in engineering, quantitative social science, statistics, political science, economics, computer or data science, or related field
Advanced analytics and modeling skills/data science, including model evaluation and validation best practices
4-6 years of experience working on quantitative data analysis, including econometric modeling or data science, ideally in a consulting environment
Strong programming skills in Python (including the usual data science stack)
Expertise with data engineering in the context of advanced analytical modeling
Highly motivated, with a demonstrated track-record of thinking critically about your work and clearly communicating with other project staff and managers about your work
Strong written and oral communication skills, including the ability to communicate with clients. Ability to explain complex technical concepts to non-technical audiences.
Strong record of guiding teams and managing projects of various levels of analytic complexity, including client management, budget management, and management of staff hours
Ability to juggle and prioritize multiple tasks and deadlines simultaneously and flexibly
Experience with cloud-based infrastructure for large data management
Additional qualifications of value
Master’s or PhD in statistics, economics, engineering, or related field. An advanced degree and substantial coursework in statistics or data science is a strong plus
Programming skills in other programming languages (R, Java, SQL etc.)
Experience with version control software (e.g. Git) and collaborative code development
Experience with data science and machine learning methods
Experience with experimental and sample design
Demonstrated aptitude with data visualization tools and techniques (e.g. PowerBI, Tableau)
Experience working on a collaborative, cross-functional team
Location

Preferred: Waltham, MA (Company headquarters)

Other locations across Continental United States will be considered.

Submit Your Resume and Cover Letter to the Following Address

CareersMA@opiniondynamics.com

About Opinion Dynamics Corporation

Opinion Dynamics advances knowledge to address emerging energy and social issues

through sound and insightful research. Our inter-disciplinary team of consultants provides actionable research to support the needs of our clients, which include electric and gas utilities, regulators, and stakeholders. Our research and consulting services inform program planning and design, performance assessment, and optimization of energy efficiency, demand response, and distributed energy resources programs. Our company fosters innovative thought, collegiality and growth opportunities for our employees. The Data Analytics Group within Opinion Dynamics is especially focused on taking a data-driven approach to answering complex technical questions.

How to Apply:

To be considered for this position, please submit your cover letter (required) and resume with “Data Analytics Technical Lead” in the subject line. If contacted, please be prepared to complete analytical tests as part of the interviewing process; provide data analysis and writing samples that clearly demonstrate your experience and aptitude in the areas outlined above; as well as supply two or more references who can speak to your experience, work orientation, and work ethic.

No phone calls, please. Only those resumes accompanied by a cover letter will be considered. Opinion Dynamics is an affirmative action-equal opportunity employer.

Responsibilities
Qualifications


To be considered for this position, please send your cover letter and resume to:

Careers: Managing Consultant- Data Analytics Team

careersMA@opiniondynamics.com

Please submit a cover letter and resume to CareersCA@opiniondynamics.com.

No phone calls, please. Only those resumes accompanied by a cover letter will be considered. Opinion Dynamics will not provide sponsorship for work authorization for this position. Opinion Dynamics is an affirmative action-equal opportunity employer.",4.2,"Opinion Dynamics
4.2","Waltham, MA","Waltham, MA",51 to 200 employees,1987,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
Data Scientist,$68K-$111K (Glassdoor est.),"As a Data Scientist, you'll utilize advanced quantitative & statistical analysis techniques to drive business model innovation for Via, and work closely with our senior management to help drive decisions.

What You'll Do
Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights, and present these insights to the different stakeholders
Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools
Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point
Design and implement novel experiments to better understand current operation as well as expansion to new markets
Who You Are
Obsessed with data; analytical and rigorous, with a thorough understanding of statistics and machine learning
Extraordinary communicator with demonstrated writing and editing skills.
Passionate about elegant visualization; you understand the importance of graphic techniques in communicating a quantitative idea effectively
Have a deep understanding of business concepts within strategy, operations, and marketing
Have a PhD in statistics, machine learning, physics, math, systems biology, or highly quantitative fields in social sciences, including 2+ years of graduate-level research experience (or the equivalent).
Have experience with predictive modeling and statistical analysis techniques in a business environment
Demonstrate mastery in some or all of the following: SQL, Python, R, and Tableau
We're Via, and we build technology that changes the way the world moves. Our guiding principle is simple: we know that the future of transportation is safe, dynamic, shared public mobility the kind that reduces carbon emissions across congested cities, compliments existing transit infrastructure, and provides everyone with accessible, efficient, and affordable ways of getting around. Through intelligently designed operating systems and sophisticated routing algorithms, we build localized and customizable solutions for each and every one of our global partners (100 and counting, last we checked)

Long story short: we're very proud to be championing the transportation evolution of cities around the world and modernizing mobility. Ready to join the ride?

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.

Via is an equal opportunity employer.",3.7,"Via Transportation
3.7","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Analyst,$68K-$111K (Glassdoor est.),"Grabango Home Page: grabango.com

Who We Are:

Grabango is the leading provider of checkout-free shopper technology for existing stores. Founded by Will Glaser (technology founder of Pandora Media), the Grabango team has developed the only enterprise class solution for large store chains in the market today. Grabango's system accommodates thousands of store locations, hundreds of thousands of SKUs and millions of square feet across a given retail enterprise.

We're a growing group of kind, curious, self-directed people working towards a common goal. We delight in taking risks and testing hypotheses in a collaborative and supportive environment. Our ability to celebrate both our successes and failures as milestones of growth opens the door to tremendous breakthroughs.

Computer vision and machine learning are at the core of our patent pending technology. Our accomplished team is a powerful combination of technology and commerce professionals that are working to “Eliminate lines and save people time!”

Overview:

We are looking for a Data Analyst to join our Data team. You will be responsible for designing, developing, and implementing data products throughout our organization. You will collaborate with a team of engineers, product managers, and data scientists. The Data Analyst’s primary job is to introspect company data and use it to answer business questions, then communicate those answers to other teams in the company to be acted upon.

This full-time role reports directly to the Senior Data Scientist.
What you'll be doing:
Data cleaning
Data visualization
Communicating complex data analysis clearly and understandably to people with no statistics or programming background
Translating insights into actionable items to drive decision making across the organization
Finding and creating opportunities for business growth through data analysis and modeling
Design and build data deliverables across multiple contexts
What you should have:
Minimum 2 years working professionally as a Data Analyst
Strong knowledge of SQL
Strong knowledge of a data manipulation language such as Python or R
Strong curiosity of finding areas to create value for the business, and leveraging data to support actionable insights
Experience building reports and visualizing data with BI and reporting frameworks such as Tableau, Plotly, or Data Studio
Experience with NoSQL databases (MongoDB/Cassandra) a plus
Working knowledge of ETLs, prior experience in building ETL pipelines a plus
You have a desire to contribute to a rapid-growth, high-potential start-up
Education & Certifications:
Bachelor’s Degree in a quantitative field
Grabango Values:
Integrity: Do the right thing, particularly when you don’t have to.
Bold Innovation: Think recklessly, but temper your actions with pragmatism.
Execution Matters: Hire the best people, and treasure them.
Don’t Live with Broken: Have the courage to admit mistakes, and the urgency to correct them.
Customer Focus: Delight customers, both internal and external.
Simplify: Enough Said.

Grabango is proud to be an equal opportunity employer and is committed to developing a workplace where diversity and inclusion are an essential part of who we are. We strive to hire and support a workforce as diverse as our shopper base, so we can develop products and services that best suit our customers. We do not make employment decisions based on race, color, religion, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status and we comply with all local, state and federal employment laws.

Grabango participates in the E-Verify Program, an internet-based system operated by the Department of Homeland Security and the Social Security Administration. It allows employers to confirm an individual’s employment eligibility to work in the United States.",4.2,"Grabango
4.2","Berkeley, CA","Berkeley, CA",1 to 50 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Senior Data Analyst,$68K-$111K (Glassdoor est.),"Job Description


Here at Discount Tire, we celebrate the spirit of our people with extraordinary pride and enthusiasm. As America’s largest independent tire retailer, specializing in tires & wheels, we have over 1,000 store locations and continue to grow every year. Our consistent growth over the last 60 years, the loyalty of our customers and passion of our people makes Discount Tire a great place to work.

Even more exciting, Discount Tire is predicting, embracing and driving the changes expected in the Automotive Industry. In particular, Data and Analytics are seen as our competitive advantage. As a Senior Data Analyst, you will be central in helping our company Executives address short term and long-term opportunities to support with strategic data-oriented, actionable insights and solutions related to Discount Tire’s complex business involving large numbers of people, properties and digital assets. We sell tires and wheels from around the world to millions of customers in our stores and through our website. Unlike traditional retail, customers expect us to do more than simply sell them, tires and wheels. We service their vehicles too, making for even more interesting & complex analytics challenges. Additionally, you will collaborate with a multi-disciplinary team of solution architects, engineers and data scientists on a wide range of business problems. Business groups supported include, but not limited to, store operations, real estate, and finance. In this role, you will actively be involved in shaping the company strategy.

As a Senior Data Analyst, you will collaborate with a large, multi-disciplinary team of data engineers, data analysts, and data scientists on a wide range of business problems. You will not only work on multiple projects to provide value to the customers but are also routinely involved in helping to building our internal capabilities to have an edge in the analytics industry. We work on providing solutions to a wide range of internal customers across the organization including senior executives to middle management coming from various domains including, but not limited to retail, manufacturing, store operations, automotive, real estate, or services.

Essential Duties and Responsibilities:
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.
Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Work on advanced analytics areas like deep learning and complex statistical data analysis
Interaction with team, stakeholders and in person meetings towards making business recommendations based on data with effective presentations of findings, visual displays of quantitative information
Develop analysis, forecasting and optimization methods/models to provide business insights and solutions to key stakeholders; applies methodologies to future strategic decisions, including but not limited to store operations, finance, human capital management.
Oversees the activities of the junior data analysts
Oversees and conducts the conversion of data into insights that will lead to informed business decisions. He works directly with stakeholders and the business’s top management and executives within the assigned departments.
The Senior Data Analyst will have to handle multiple simultaneous tasks, prioritize work, and remain functional under pressure, and aggressive timelines.

Job Requirements


Required Qualifications of the Senior Data Analyst

Experience:
The Senior Data Analyst position is an advanced data role that requires extensive experience with a minimum of 5 years of industry experience as a Business/Data Analyst with 3-5 experience in data analysis using tools such as SQL, preferably work in a fast-pace and dynamic business setting.
This individual will have had experience working in report creation, modeling and trend forecasting.
Understanding of Scripting experience in (Python, Perl, JavaScript, Shell); Practical knowledge of data in various forms (data warehouses/SQL, unstructured data environments/PIG, HIVE, Impala);
Strong working knowledge with BI reporting tools (i.e. Tableau, Business Objects. MicroStrategy is preferred or any other data visualization tool)
Proficient using MS Word, MS Excel, PowerPoint, which are all necessary for the creation of visually and verbally engaging reports, for the various assigned departmental heads, managements, and stakeholders including senior executives.
Demonstrated knowledge of data governance, data quality management concepts and data quality tools (i.e. Informatica DQ)
Understanding of Agile development methodologies, software design patterns, network design and architecture
Experience in quantitative analysis and statistical modelling.
A clear understanding of key reporting and analytics, general ledger management, and data warehousing are needed.
The role of a senior data analyst involves working with people.
Communication Skill: Excellent verbal, written and presentation communication skills. The Senior Data Analyst will need communication skills with collaborating with peers and stakeholders. Business Acumen is essential.

Analytical Skills: A candidate for this position must demonstrate a deep interest in research and data analysis, drawing actionable insights form raw data and information to help further the business’s cause. The candidate will be skilled in statistical and econometric modeling, performing quantitative analysis, and technological data mining and analysis techniques.

Interpersonal Skills: The candidate must further possess certain personal traits that make him even more suited for the role. The candidate will have an entrepreneurial mindset being willing to be accountable for the business’s performance, he will have exceptional attention to detail, have an ability to handle multiple tasks and meet tight deadlines, have creative and innovative problem solving skills, be self-motivated and proactive, and demonstrate calmness during time of uncertainty and stress.

People Skills: This is very interactive role and to effectively execute his duties he must have a natural ability to get along with people and establish strong and meaningful relationships with others. This will guarantee collaborative personnel, departmental heads/management, and key stakeholders gain trust in his abilities and that junior data analyst personnel readily follow in his/her directives and trust in his/her judgments and insights.

Specialized Knowledge, Skills, and Abilities
Advanced experience with statistical software (e.g., R, Python) and database languages (e.g., SQL).
Advanced experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations.
Demonstrated skills in selecting the right statistical tools given a data analysis problem
Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.
Experience in AI / Deep Learning for text/image/video analytics preferred
Experience in Cloud Computing and data streaming preferred
SQL and relational database knowledge are required
Educational Requirements:

A Master’s degree in a quantitative discipline (e.g., analytics, statistics, computer science, data science, economics, mathematics, physics, electrical engineering, industrial engineering, or other STEM fields)

Work Days:

Normal work days are Monday through Friday. Occasional Saturdays and Sundays may be necessary.

Work Hours:

Normal work hours are 8:00 a.m. to 5:00 p.m. Additional hours may be necessary.

Apply
Not ready to",4.0,"Discount Tire
4.0","Scottsdale, AZ","Scottsdale, AZ",10000+ employees,1960,Company - Private,Automotive Parts & Accessories Stores,Retail,$2 to $5 billion (USD),"Big O Tires, Les Schwab Tire Centers, Pep Boys"
"Vice President, Biometrics and Clinical Data Management",$68K-$111K (Glassdoor est.),"At Alector, our mission is to develop therapies that empower the immune system to cure neurodegeneration. Our team is solely focused on developing cures for some of the most challenging diseases facing our society. We are supported in this mission by experienced and accomplished scientists and board members, leading healthcare investors and some of the most innovative pharma companies.

Please join us in driving the development of new therapies that seek to transform patients' lives. Autonomy and collaboration in tackling challenges is what you are seeking and would like to be part of a hardworking team where everyone has a voice, please join in our mission!
As the Head of Biometrics and Data Management, you will help in developing a strategy and support execution of our development programs. You will have the responsibility and contribute across assigned clinical trials across our therapeutic areas.
During your first year, your goals will include:
Define how you will contribute to Alector's overall 3-5 year vision to continually improve our clinical development strategy
Lead and build world-class biostatistics and group.
Work in collaboration with internal and external partners in the study design, support endpoint selection and sample size calculations, analysis, interpretation, and publication of clinical trial data
Execute protocols, statistical analysis plans, study reports, ensure statistical integrity of presentations and publications of clinical studies by applying your past experiences and provide oversight to data management processes and team
Lead and work on significant and unique issues that require exercising independent judgment and developing/adapting methodology
Offer scientific and technical input within the study team and cross-functionally
Manage workflow to ensure quality, prioritization, and timeliness across multiple programs
Handle external vendors and serve as a key Biostats/data management strategic direction and liaison with external organizations for the studies
Ensure up to date knowledge of the industry and academic developments in the Neuroscience, Immuno-Oncology and Orphan disease fields and apply to clinical study design and analysis
We would love to hear from you if you have:
7+ years of experience in academia or industry. Pharmaceutical/biotech/CRO industry experience preferred
PhD in Biostatistics and or related field
Strong knowledge of theoretical and applied statistics and clinical trial data management
Hands-on ability to drive and lead strategies for clinical trials of drug candidates from first-in-human testing to all later phases of clinical investigation, including pivotal Phase 2/3 studies and NDA/BLA submissions
Demonstrated success leading the statistical strategy, analysis, and design of clinical development programs across therapeutic areas and oversight of data management teams
Knowledge of applicable regulatory rules and guidelines, e.g., ICH, GCP, HIPAA
Experience programming in SAS or R and other relevant statistical software solutions
Strong application of innovative study designs and developing milestone criteria (e.g. Go/No Go criteria)
Detailed knowledge of adaptive designs, Bayesian methodology, trial simulation, and data modeling is strongly preferred
At Alector, we believe that high-performing teams include people from a wide variety of backgrounds and experiences who can challenge each other’s assumptions with fresh perspectives and bring creative ideas to the table. We are committed to building an open, diverse, and inclusive environment for all employees. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristics protected under applicable federal, state, or local laws.
Alector is a great place to learn and experiment. If you excel in a dynamic environment where everyone is committed to finding a cure, where you’ll drive growth, this is the role for you. There is no limit to how far you can go with us.

Benefits
While we’ve focused on what to look forward to during the first year and beyond, Day One is great, too: committed and driven colleagues, a bold and important company goal, state-of-the-art brand-new brightly-lit offices in the heart of the biotech area, competitive compensation and benefits. But these matter only if you’re excited to build and own something great, and take on these challenges with us. Come join us.",4.8,"Alector
4.8","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Principal Data Scientist,$68K-$111K (Glassdoor est.),"Start your future with a new mission: Northrop Grumman Space Systems (NGSP). As a part of the NGSP Team, you will work with experts that develop systems and solutions to keep our world safe. Together we protect our troops, public safety, information, and our planet. Its unique work. Its challenging and rewarding. Most of all, its the work that makes a difference. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work, and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, theyre making history. Join us and launch your career. Northrop Grumman Space Systems is seeking a Principal Data Scientist This position will be located at Hill AFB, UT and will support the Ground Subsystems Support Contract (GSSC) program. The successful applicant will: - Develop and implement artificial intelligence and machine learning models to solve complex data problems - Interpret large amounts of data using advanced visualization techniques and tools - Merge and transform big datasets to ensure data integrity and usability - Develop a process to maintain quality and performance of statistical models and quickly identify enhancements opportunities - Communicate advanced concepts and information in an understandable manner for audiences of varying levels of competency - Maintain an up-to-date knowledge of technology trends - Properly document code, artifact description, implementation, and use case. - Be an eager and fast learner - Work on a fast pasted collaborative team in an agile environment As a full-time employee of Northrop Grumman Space Systems, you are eligible for our robust benefits package including: - Medical, Dental & Vision coverage - 401k - Educational Assistance - Life Insurance - Employee Assistance Programs & Work/Life Solutions - Paid Time Off - Health & Wellness Resources - EmployeBasic Qualifications: - Minimum of a Bachelor of Science in Data Science, Computer Science, Physics, Statistics, Mathematics, or related quantitative field - Minimum 5 years of relevant experience with a bachelors degree; or 3 years with a Masters; or 0 years with PhD - Demonstrated experience with Programming in Python, R, or Node.js - Demonstrated experience manipulating dataframes through SQL, pandas, or tidyverse - U.S. Citizenship and the ability to obtain a Secret Security Clearance Preferred Qualifications: - Active Secret Security Clearance or higher - Familiarity with any of the following: Tensorflow, Theano, Keras, PyTorch, NLTK, PyStan, PyMC3, Rstan, ElasticSearch, PyCuda - Familiarity with Graph, NoSQL, Hadoop, SMACK, or Neo4J/OWL Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.",3.7,"Northrop Grumman
3.7","Hill AFB, UT","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Scientist/Sr. Scientist Cancer cell biology,$68K-$111K (Glassdoor est.),"Hunter BioDiscoveryLocation: Boston, MA
Hunter BioDiscovery is creating innovative high content screening tools for the discovery of drugs and drug-combinations. Our breakthrough technology, founded on research done at Harvard University and Mass General Hospital uses emulsion microfluidics coupled with tailored chemistry, to enable ultra-high throughput screening of single cells. We are seeking creative and talented professionals excited by the prospect of joining and growing a company from the early stage. If you want to make a major contribution to our talented team, we want to hear from you!
Scientist/Sr. Scientist
We are looking for an exceptional scientist to develop novel cancer-single-cell / organoid assays for drug screening, drug-combination discovery, and protein pathway studies of mechanism of action. The ideal candidate will have experience working with cancer cell models, organoid models, or immuno-oncology. He or she should be excited about working in a truly multidisciplinary environment collaborating closely with microfluidic and chemical engineers.
Key Responsibilities
Design, execute, and analyze, novel assays for Hunter's single-cell drug-discovery platform.
Work closely and collaboratively with team scientists and engineers.
Use a quantitative approach to problem solving including, general statistical methodology, DOE, or regression analysis.
Analyze data, document, and present results.
Develop and document work processes.
Requirements
PhD in cancer biology, biochemistry, molecular biology, or related field
At least 2 years of industry or postdoc experience
Experience with cancer biology and cancer-cell assays
Work well in a group setting
Detail oriented experimentalist
Excellent troubleshooting skills
Excellent verbal communication skills
Work well under aggressive timelines
Desired Skills
Experience with immunology, and/or organoids
Experience with emulsion microfluidics - nice to have
Experience with signaling pathway fluorescent assays
Experience with FACS
Experience with next generation sequencing (NGS)
Experience with CRISPR libraries
Experience working under design-control
Expert with design, execution, and analysis of experiments using statistical tools",-1,Hunter Biodiscovery,"Boston, MA",-1,-1,-1,-1,-1,-1,-1,-1
